Date,Open,High,Low,Close,Volume,news_count,news_indices
2024-02-05 14:30:00,,,,,0,0,
2024-02-05 15:00:00,,,,,0,0,
2024-02-05 15:30:00,,,,,0,1,999
2024-02-05 16:00:00,,,,,0,0,
2024-02-05 16:30:00,187.216,187.426,185.839,186.576,0,0,
2024-02-05 17:00:00,186.576,188.331,186.341,186.666,0,1,998
2024-02-05 17:30:00,186.651,187.036,186.081,186.876,0,0,
2024-02-05 18:00:00,186.866,187.731,186.756,187.236,0,0,
2024-02-05 18:30:00,187.226,188.094,187.201,187.974,0,0,
2024-02-05 19:00:00,187.931,188.456,187.861,188.371,0,0,
2024-02-05 19:30:00,188.406,189.227,188.406,189.031,0,0,
2024-02-05 20:00:00,189.046,189.046,188.506,188.511,0,3,"995,996,997"
2024-02-05 20:30:00,188.526,188.994,188.516,188.704,0,1,994
2024-02-05 21:00:00,188.691,188.874,188.361,188.446,0,2,"992,993"
2024-02-05 21:30:00,188.454,188.814,188.356,188.496,0,1,991
2024-02-05 22:00:00,188.504,188.606,188.006,188.326,0,2,"989,990"
2024-02-05 22:30:00,188.336,188.396,187.846,188.096,0,1,988
2024-02-05 23:00:00,,,,,0,1,987
2024-02-05 23:30:00,,,,,0,0,
2024-02-06 00:00:00,,,,,0,0,
2024-02-06 00:30:00,,,,,0,0,
2024-02-06 01:00:00,,,,,0,0,
2024-02-06 01:30:00,,,,,0,0,
2024-02-06 02:00:00,,,,,0,0,
2024-02-06 02:30:00,,,,,0,0,
2024-02-06 03:00:00,,,,,0,0,
2024-02-06 03:30:00,,,,,0,0,
2024-02-06 04:00:00,,,,,0,0,
2024-02-06 04:30:00,,,,,0,0,
2024-02-06 05:00:00,,,,,0,0,
2024-02-06 05:30:00,,,,,0,0,
2024-02-06 06:00:00,,,,,0,0,
2024-02-06 06:30:00,,,,,0,0,
2024-02-06 07:00:00,,,,,0,0,
2024-02-06 07:30:00,,,,,0,0,
2024-02-06 08:00:00,,,,,0,0,
2024-02-06 08:30:00,,,,,0,0,
2024-02-06 09:00:00,,,,,0,0,
2024-02-06 09:30:00,,,,,0,1,986
2024-02-06 10:00:00,,,,,0,0,
2024-02-06 10:30:00,,,,,0,0,
2024-02-06 11:00:00,,,,,0,2,"984,985"
2024-02-06 11:30:00,,,,,0,1,983
2024-02-06 12:00:00,,,,,0,0,
2024-02-06 12:30:00,,,,,0,0,
2024-02-06 13:00:00,,,,,0,0,
2024-02-06 13:30:00,,,,,0,0,
2024-02-06 14:00:00,,,,,0,1,982
2024-02-06 14:30:00,,,,,0,1,981
2024-02-06 15:00:00,,,,,0,0,
2024-02-06 15:30:00,,,,,0,0,
2024-02-06 16:00:00,,,,,0,0,
2024-02-06 16:30:00,187.869,188.609,187.459,187.939,0,0,
2024-02-06 17:00:00,187.949,188.289,187.698,187.909,0,0,
2024-02-06 17:30:00,187.889,188.199,187.269,187.699,0,1,980
2024-02-06 18:00:00,187.689,188.839,187.689,188.789,0,0,
2024-02-06 18:30:00,188.819,189.009,188.399,188.839,0,1,979
2024-02-06 19:00:00,188.809,189.109,188.689,188.819,0,0,
2024-02-06 19:30:00,188.849,188.859,188.409,188.519,0,1,978
2024-02-06 20:00:00,188.519,188.989,188.489,188.879,0,0,
2024-02-06 20:30:00,188.879,188.929,188.734,188.759,0,1,977
2024-02-06 21:00:00,188.759,188.809,188.352,188.429,0,0,
2024-02-06 21:30:00,188.429,188.599,188.219,188.559,0,0,
2024-02-06 22:00:00,188.562,188.619,188.229,188.349,0,1,976
2024-02-06 22:30:00,188.342,188.829,188.145,188.789,0,0,
2024-02-06 23:00:00,,,,,0,0,
2024-02-06 23:30:00,,,,,0,1,975
2024-02-07 00:00:00,,,,,0,3,"972,973,974"
2024-02-07 00:30:00,,,,,0,0,
2024-02-07 01:00:00,,,,,0,0,
2024-02-07 01:30:00,,,,,0,0,
2024-02-07 02:00:00,,,,,0,1,971
2024-02-07 02:30:00,,,,,0,0,
2024-02-07 03:00:00,,,,,0,0,
2024-02-07 03:30:00,,,,,0,2,"969,970"
2024-02-07 04:00:00,,,,,0,0,
2024-02-07 04:30:00,,,,,0,0,
2024-02-07 05:00:00,,,,,0,0,
2024-02-07 05:30:00,,,,,0,1,968
2024-02-07 06:00:00,,,,,0,2,"966,967"
2024-02-07 06:30:00,,,,,0,0,
2024-02-07 07:00:00,,,,,0,0,
2024-02-07 07:30:00,,,,,0,0,
2024-02-07 08:00:00,,,,,0,0,
2024-02-07 08:30:00,,,,,0,0,
2024-02-07 09:00:00,,,,,0,0,
2024-02-07 09:30:00,,,,,0,0,
2024-02-07 10:00:00,,,,,0,0,
2024-02-07 10:30:00,,,,,0,0,
2024-02-07 11:00:00,,,,,0,0,
2024-02-07 11:30:00,,,,,0,0,
2024-02-07 12:00:00,,,,,0,2,"964,965"
2024-02-07 12:30:00,,,,,0,0,
2024-02-07 13:00:00,,,,,0,0,
2024-02-07 13:30:00,,,,,0,0,
2024-02-07 14:00:00,,,,,0,2,"962,963"
2024-02-07 14:30:00,,,,,0,0,
2024-02-07 15:00:00,,,,,0,2,"960,961"
2024-02-07 15:30:00,,,,,0,0,
2024-02-07 16:00:00,,,,,0,1,959
2024-02-07 16:30:00,190.047,190.327,188.847,188.997,0,2,"957,958"
2024-02-07 17:00:00,188.987,190.377,188.597,190.367,0,0,
2024-02-07 17:30:00,190.367,190.388,189.448,189.647,0,0,
2024-02-07 18:00:00,189.647,189.687,188.79,189.067,0,0,
2024-02-07 18:30:00,189.054,189.257,188.788,189.118,0,1,956
2024-02-07 19:00:00,189.108,189.208,188.908,188.978,0,0,
2024-02-07 19:30:00,188.978,189.067,188.634,188.987,0,0,
2024-02-07 20:00:00,188.987,189.167,188.727,189.098,0,0,
2024-02-07 20:30:00,189.137,189.287,188.904,189.174,0,1,955
2024-02-07 21:00:00,189.186,189.248,188.92,188.966,0,0,
2024-02-07 21:30:00,188.966,189.398,188.874,189.248,0,1,954
